Date,Open,High,Low,Close,Adj Close,Volume
7/30/2019,52.189999,52.540001,51.827499,52.195,50.373245,135742800
7/31/2019,54.105,55.342499,52.825001,53.259998,51.401073,277125600
8/1/2019,53.474998,54.5075,51.685001,52.107498,50.288807,216071600
8/2/2019,51.3825,51.607498,50.407501,51.005001,49.224785,163448400
8/5/2019,49.497501,49.662498,48.145,48.334999,46.647968,209572000
8/6/2019,49.077499,49.517502,48.509998,49.25,47.531044,143299200
8/7/2019,48.852501,49.889999,48.455002,49.759998,48.023239,133457600
8/8/2019,50.049999,50.8825,49.8475,50.857498,49.082428,108038000
8/9/2019,50.325001,50.689999,49.822498,50.247501,48.677967,98478800
8/12/2019,49.904999,50.512501,49.787498,50.119999,48.554447,89927600
8/13/2019,50.255001,53.035,50.119999,52.2425,50.610661,188874000
8/14/2019,50.790001,51.610001,50.647499,50.6875,49.104229,146189600
8/15/2019,50.865002,51.285,49.9175,50.435001,48.859615,108909600
8/16/2019,51.07,51.790001,50.959999,51.625,50.012444,110481600
8/19/2019,52.654999,53.182499,52.5075,52.587502,50.944881,97654400
8/20/2019,52.720001,53.337502,52.580002,52.59,50.947304,107537200
8/21/2019,53.247501,53.412498,52.900002,53.16,51.4995,86141600
8/22/2019,53.297501,53.610001,52.6875,53.115002,51.45591,89014800
8/23/2019,52.357498,53.012501,50.25,50.66,49.077587,187272000
8/26/2019,51.465,51.797501,51.264999,51.622501,50.010025,104174400
8/27/2019,51.965,52.137501,50.8825,51.040001,49.445721,103493200
8/28/2019,51.025002,51.43,50.830002,51.3825,49.777515,63755200
8/29/2019,52.125,52.330002,51.665001,52.252499,50.62035,83962000
8/30/2019,52.540001,52.612499,51.799999,52.185001,50.554962,84573600
9/3/2019,51.607498,51.744999,51.055,51.424999,49.818684,80092000
9/4/2019,52.0975,52.369999,51.830002,52.297501,50.66394,76752400
9/5/2019,53,53.4925,52.877499,53.32,51.654499,95654800
9/6/2019,53.512501,53.605,53.127499,53.314999,51.649654,77449200
9/9/2019,53.709999,54.110001,52.767502,53.5425,51.870049,109237600
9/10/2019,53.465,54.195,52.927502,54.174999,52.482796,127111600
9/11/2019,54.517502,55.927502,54.432499,55.897499,54.151493,177158400
9/12/2019,56.200001,56.605,55.715,55.772499,54.030388,128906800
9/13/2019,55,55.197498,54.255001,54.6875,52.979286,159053200
9/16/2019,54.432499,55.032501,54.389999,54.974998,53.257805,84632400
9/17/2019,54.990002,55.205002,54.779999,55.174999,53.451553,73274800
9/18/2019,55.264999,55.712502,54.860001,55.692501,53.9529,101360000
9/19/2019,55.502499,55.939999,55.092499,55.240002,53.514538,88242400
9/20/2019,55.345001,55.639999,54.3675,54.432499,52.732258,221652400
9/23/2019,54.737499,54.959999,54.412498,54.68,52.972031,76662000
9/24/2019,55.2575,55.622501,54.297501,54.419998,52.720135,124763200
9/25/2019,54.637501,55.375,54.285,55.2575,53.531487,87613600
9/26/2019,55,55.235001,54.7075,54.9725,53.255386,75334000
9/27/2019,55.134998,55.240002,54.32,54.705002,52.996239,101408000
9/30/2019,55.224998,56.145,55.197498,55.9925,54.24353,103909600
10/1/2019,56.267502,57.055,56.049999,56.147499,54.393681,139223200
10/2/2019,55.764999,55.895,54.482498,54.740002,53.030148,138449200
10/3/2019,54.607498,55.240002,53.782501,55.205002,53.480625,114426000
10/4/2019,56.41,56.872501,55.9725,56.752499,54.979774,138478800
10/7/2019,56.567501,57.482498,56.459999,56.764999,54.991894,122306000
10/8/2019,56.455002,57.014999,56.0825,56.099998,54.34766,111820000
10/9/2019,56.7575,56.947498,56.41,56.7575,54.984619,74770400
10/10/2019,56.982498,57.610001,56.825001,57.522499,55.725735,113013600
10/11/2019,58.237499,59.41,58.077499,59.052502,57.207939,166795600
10/14/2019,58.724998,59.532501,58.6675,58.967499,57.125591,96427600
10/15/2019,59.0975,59.412498,58.720001,58.830002,56.992393,87360000
10/16/2019,58.342499,58.810001,58.299999,58.592499,56.762299,73903200
10/17/2019,58.772499,59.037498,58.380001,58.82,56.982704,67585200
10/18/2019,58.647499,59.395,58.572498,59.102501,57.256382,97433600
10/21/2019,59.380001,60.247501,59.330002,60.127499,58.249363,87247200
10/22/2019,60.290001,60.549999,59.904999,59.990002,58.116154,82293600
10/23/2019,60.525002,60.810001,60.305,60.794998,58.896004,75828800
10/24/2019,61.127499,61.200001,60.452499,60.895,58.992882,69275200
10/25/2019,60.790001,61.682499,60.720001,61.645,59.719471,73477200
10/28/2019,61.855,62.3125,61.68,62.262501,60.317673,96572800
10/29/2019,62.2425,62.4375,60.642502,60.822498,58.922646,142839600
10/30/2019,61.189999,61.325001,60.302502,60.814999,58.915386,124522000
10/31/2019,61.810001,62.2925,59.314999,62.189999,60.247437,139162000
11/1/2019,62.384998,63.982498,62.290001,63.955002,61.957306,151125200
11/4/2019,64.332497,64.462502,63.845001,64.375,62.364189,103272000
11/5/2019,64.262497,64.547501,64.080002,64.282501,62.27459,79897600
11/6/2019,64.192497,64.372498,63.842499,64.309998,62.301216,75864400
11/7/2019,64.684998,65.087502,64.527496,64.857498,63.020256,94940400
11/8/2019,64.672501,65.110001,64.212502,65.035004,63.192741,69986400
11/11/2019,64.574997,65.6175,64.57,65.550003,63.693127,81821200
11/12/2019,65.387497,65.697502,65.230003,65.489998,63.634834,87388800
11/13/2019,65.282501,66.195,65.267502,66.1175,64.24456,102734400
11/14/2019,65.9375,66.220001,65.525002,65.660004,63.800022,89182800
11/15/2019,65.919998,66.445,65.752502,66.440002,64.557938,100206400
11/18/2019,66.449997,66.857498,66.057503,66.775002,64.883446,86703200
11/19/2019,66.974998,67,66.347504,66.572502,64.686653,76167200
11/20/2019,66.385002,66.519997,65.099998,65.797501,63.93364,106234400
11/21/2019,65.922501,66.002502,65.294998,65.502502,63.646973,121395200
11/22/2019,65.647499,65.794998,65.209999,65.445,63.591114,65325200
11/25/2019,65.677498,66.610001,65.629997,66.592499,64.706108,84020400
11/26/2019,66.735001,66.790001,65.625,66.072502,64.200844,105207600
11/27/2019,66.394997,66.995003,66.327499,66.959999,65.063187,65235600
11/29/2019,66.650002,67,66.474998,66.8125,64.919868,46617600
12/2/2019,66.817497,67.0625,65.862503,66.040001,64.169243,94487200
12/3/2019,64.577499,64.8825,64.072502,64.862503,63.025116,114430400
12/4/2019,65.267502,65.827499,65.169998,65.434998,63.581383,67181600
12/5/2019,65.947502,66.472504,65.682503,66.394997,64.514198,74424400
12/6/2019,66.870003,67.75,66.824997,67.677498,65.760353,106075600
12/9/2019,67.5,67.699997,66.227501,66.730003,64.839714,128042400
12/10/2019,67.150002,67.517502,66.464996,67.120003,65.218658,90420400
12/11/2019,67.202499,67.775002,67.125,67.692497,65.774948,78756800
12/12/2019,66.945,68.139999,66.830002,67.864998,65.942543,137310400
12/13/2019,67.864998,68.824997,67.732498,68.787498,66.838905,133587600
12/16/2019,69.25,70.197502,69.245003,69.964996,67.983063,128186000
12/17/2019,69.892502,70.442497,69.699997,70.102501,68.116676,114158400
12/18/2019,69.949997,70.474998,69.779999,69.934998,67.953911,116028400
12/19/2019,69.875,70.294998,69.737503,70.004997,68.021927,98369200
12/20/2019,70.557503,70.662498,69.639999,69.860001,67.881042,275978000
12/23/2019,70.1325,71.0625,70.092499,71,68.988762,98572000
12/24/2019,71.172501,71.222504,70.730003,71.067497,69.054344,48478800
12/26/2019,71.205002,72.495003,71.175003,72.477501,70.424408,93121200
12/27/2019,72.779999,73.4925,72.029999,72.449997,70.397675,146266000
12/30/2019,72.364998,73.172501,71.305,72.879997,70.815491,144114400
